batch,source_file,source_line,original_row_index,match_input,normalized_match_input,status,match_count,replacement_input,duplicate_target_within_batches
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,23,23,Describe the basic lock-in amplifier principle.,Describe the basic lock-in amplifier principle.,APPLIED,1,Describe the lock-in amplifier principle and the measurement caveats for infrared detector testing.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,24,24,What are the atmospheric windows for IR transmission?,What are the atmospheric windows for IR transmission?,APPLIED,1,What are the atmospheric IR transmission windows and why are they important for detector selection?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,25,25,Explain how a Stirling cooler works for IR detectors.,Explain how a Stirling cooler works for IR detectors.,APPLIED,1,Explain how a Stirling cooler supports infrared detector operation and what engineering tradeoffs it introduces.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,26,26,What is the primary role of a cold filter in an infrared detector system?,What is the primary role of a cold filter in an infrared detector system?,APPLIED,1,What is the role of a cold filter in an infrared detector system?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,27,27,How does carrier mobility affect photoconductor performance?,How does carrier mobility affect photoconductor performance?,APPLIED,1,How does carrier mobility affect HgCdTe photoconductor performance?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,28,28,Explain the concept of quantum efficiency in infrared detectors.,Explain the concept of quantum efficiency in infrared detectors.,APPLIED,1,Explain quantum efficiency in infrared detectors and why absorption alone is not enough.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,29,29,What are Ohmic contacts and why are they important?,What are Ohmic contacts and why are they important?,APPLIED,1,What are ohmic contacts and why are they important in infrared detectors?,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,30,30,List typical passivation materials used for HgCdTe.,List typical passivation materials used for HgCdTe.,APPLIED,1,List typical HgCdTe passivation materials and the function they serve.,False
001,data/curation/rewrite_batches/firm_rewrite_batch_001_rows_0001_0031.jsonl,31,31,How is NEP (Noise Equivalent Power) defined?,How is NEP (Noise Equivalent Power) defined?,APPLIED,1,How is NEP defined for voltage-mode infrared detector measurements?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,1,32,Why is LN2 commonly used in infrared detector testing?,Why is LN2 commonly used in infrared detector testing?,APPLIED,1,"Why is LN2 commonly used in infrared detector testing, and what limitations does it have?",False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,2,33,Explain the term 'modulation transfer function' (MTF).,Explain the term 'modulation transfer function' (MTF).,APPLIED,1,Explain modulation transfer function (MTF) for infrared imaging systems.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,3,34,What is the difference between photon noise and thermal noise?,What is the difference between photon noise and thermal noise?,APPLIED,1,Compare photon noise and thermal noise in infrared detector measurements.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,4,35,Describe the design of a dual-band HgCdTe detector.,Describe the design of a dual-band HgCdTe detector.,APPLIED,1,Describe the design principles of a dual-band HgCdTe detector.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,5,36,What are the standard substrate materials used for growing HgCdTe?,What are the standard substrate materials used for growing HgCdTe?,APPLIED,1,What substrate materials are used for HgCdTe growth and how do they affect detector quality?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,6,37,Explain the full Liquid Phase Epitaxy (LPE) process for HgCdTe growth.,Explain the full Liquid Phase Epitaxy (LPE) process for HgCdTe growth.,APPLIED,1,Explain the full Liquid Phase Epitaxy process for HgCdTe growth with detector-relevant controls.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,7,38,Why is annealing important after HgCdTe growth?,Why is annealing important after HgCdTe growth?,APPLIED,1,"Why is annealing important after HgCdTe growth, and why can it change electrical behavior without moving cutoff?",False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,8,39,List common problems during MOCVD growth of HgCdTe.,List common problems during MOCVD growth of HgCdTe.,APPLIED,1,List common MOCVD HgCdTe growth problems and their detector-level consequences.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,9,40,How does temperature gradient affect LPE growth of HgCdTe?,How does temperature gradient affect LPE growth of HgCdTe?,APPLIED,1,How does temperature gradient affect HgCdTe LPE growth quality?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,10,41,What is the role of Hg overpressure during annealing?,What is the role of Hg overpressure during annealing?,APPLIED,1,What is the role of Hg overpressure during HgCdTe annealing?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,11,42,Describe how to clean a CdZnTe substrate before epitaxy.,Describe how to clean a CdZnTe substrate before epitaxy.,APPLIED,1,Describe CdZnTe substrate cleaning before HgCdTe epitaxy and the risks of overprocessing.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,12,43,What is a common ampoule design for sealed LPE growth?,What is a common ampoule design for sealed LPE growth?,APPLIED,1,What design features matter in a sealed ampoule for HgCdTe LPE or Hg-rich annealing?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,13,44,How do dislocations affect detector performance?,How do dislocations affect detector performance?,APPLIED,1,How do dislocations affect HgCdTe detector performance?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,14,45,Why is Te-purity critical in HgCdTe melt preparation?,Why is Te-purity critical in HgCdTe melt preparation?,APPLIED,1,Why is Te purity critical in HgCdTe melt preparation and detector performance?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,15,46,What is 1/f noise and how does it affect IR detectors?,What is 1/f noise and how does it affect IR detectors?,APPLIED,1,What is 1/f noise in infrared detectors and how should it be analyzed?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,16,47,How is Johnson noise calculated for a photoconductor?,How is Johnson noise calculated for a photoconductor?,APPLIED,1,How is Johnson noise calculated for a photoconductor and converted to NEP?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,17,48,What is shot noise and when does it occur?,What is shot noise and when does it occur?,APPLIED,1,What is shot noise and when does it matter in infrared detectors?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,18,49,List methods to reduce 1/f noise in HgCdTe photoconductors.,List methods to reduce 1/f noise in HgCdTe photoconductors.,APPLIED,1,List methods to reduce 1/f noise in HgCdTe photoconductors and how to validate them.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,19,50,How is responsivity defined for a photoconductor?,How is responsivity defined for a photoconductor?,APPLIED,1,"How is responsivity defined for a photoconductor, and why is the circuit part of the definition?",False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,20,51,What is gain in photoconductors and how is it related to lifetime?,What is gain in photoconductors and how is it related to lifetime?,APPLIED,1,What is photoconductive gain and how is it related to carrier lifetime?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,21,52,Explain generation-recombination noise.,Explain generation-recombination noise.,APPLIED,1,Explain generation-recombination noise for infrared detector analysis.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,22,53,How can NEP be reduced in IR detectors?,How can NEP be reduced in IR detectors?,APPLIED,1,How can NEP be reduced in infrared detectors without confusing signal improvement with sensitivity improvement?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,23,54,Compare Johnson noise and 1/f noise.,Compare Johnson noise and 1/f noise.,APPLIED,1,Compare Johnson noise and 1/f noise in HgCdTe detector measurements.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,24,55,Why is responsivity wavelength-dependent?,Why is responsivity wavelength-dependent?,APPLIED,1,Why is infrared detector responsivity wavelength-dependent?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,25,56,What is the structural difference between photoconductive and photovoltaic IR detectors?,What is the structural difference between photoconductive and photovoltaic IR detectors?,APPLIED,1,What is the structural difference between photoconductive and photovoltaic infrared detectors?,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,26,57,Explain the basic design of a planar HgCdTe photodiode.,Explain the basic design of a planar HgCdTe photodiode.,APPLIED,1,Explain the basic design of a planar HgCdTe photodiode and its performance sensitivities.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,27,58,What is a mesa structure and why is it used in IR detectors?,What is a mesa structure and why is it used in IR detectors?,APPLIED,1,"What is a mesa structure in infrared detectors, and what tradeoffs does it create?",False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,28,59,Compare the advantages of planar vs mesa designs.,Compare the advantages of planar vs mesa designs.,APPLIED,1,Compare planar and mesa HgCdTe detector designs.,False
002,data/curation/rewrite_batches/firm_rewrite_batch_002_rows_0032_0060.jsonl,29,60,What is a dual-band IR detector and how is it constructed?,What is a dual-band IR detector and how is it constructed?,APPLIED,1,What is a dual-band infrared detector and how is it constructed?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,1,61,List key challenges in building large IR FPAs.,List key challenges in building large IR FPAs.,APPLIED,1,List the key engineering challenges in building large infrared FPAs.,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,2,62,What is a ROIC and how does it integrate with IR detectors?,What is a ROIC and how does it integrate with IR detectors?,APPLIED,1,What is a ROIC and how does it integrate with infrared detector arrays?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,3,63,Describe the role of an antireflection (AR) coating in IR detectors.,Describe the role of an antireflection (AR) coating in IR detectors.,APPLIED,1,Describe the role of an antireflection coating in infrared detectors and how it affects responsivity.,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,4,64,How does pixel pitch affect IR image resolution?,How does pixel pitch affect IR image resolution?,APPLIED,1,"How does pixel pitch affect infrared image resolution, sensitivity, and crosstalk?",False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,5,65,What are common contact materials for IR detector electrodes?,What are common contact materials for IR detector electrodes?,APPLIED,1,What contact materials are used for infrared detector electrodes and what determines whether they are good contacts?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,6,66,How is responsivity measured in a lab setup for IR detectors?,How is responsivity measured in a lab setup for IR detectors?,APPLIED,1,How is responsivity measured in a laboratory setup for infrared detectors?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,7,67,What is the standard method for measuring detectivity (D*)?,What is the standard method for measuring detectivity (D*)?,APPLIED,1,What is the correct method for determining specific detectivity D* from measured responsivity and noise?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,8,68,Explain how a lock-in amplifier is used in IR detector testing.,Explain how a lock-in amplifier is used in IR detector testing.,APPLIED,1,Explain how a lock-in amplifier is used in infrared detector testing and what can go wrong.,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,9,69,How is the time constant of a photoconductor measured?,How is the time constant of a photoconductor measured?,APPLIED,1,How is the time constant of a photoconductor measured from frequency response?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,10,70,List typical parameters measured during IR detector testing.,List typical parameters measured during IR detector testing.,APPLIED,1,List the key parameters measured during infrared detector characterization and why each matters.,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,11,71,How do you calibrate optical power for detector testing?,How do you calibrate optical power for detector testing?,APPLIED,1,How do you calibrate optical power for infrared detector testing?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,12,72,Why is chopper modulation used in IR measurements?,Why is chopper modulation used in IR measurements?,APPLIED,1,Why is chopper modulation used in infrared detector measurements?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,13,73,Describe how to measure spectral response of an IR detector.,Describe how to measure spectral response of an IR detector.,APPLIED,1,Describe how to measure the spectral response of an infrared detector.,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,14,74,How can you determine carrier lifetime in a photoconductor?,How can you determine carrier lifetime in a photoconductor?,APPLIED,1,"How can carrier lifetime be determined in a photoconductor, and why is the result often an effective lifetime?",False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,15,75,What instrument is typically used to measure µV-level noise?,What instrument is typically used to measure µV-level noise?,APPLIED,1,"What instrumentation is used to measure microvolt-level infrared detector noise, and what controls are required?",False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,16,76,What are the main application sectors for infrared detectors?,What are the main application sectors for infrared detectors?,APPLIED,1,What are the main application sectors for infrared detectors and what detector metrics matter in each?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,17,77,What is the typical detector lifetime for cooled IR sensors?,What is the typical detector lifetime for cooled IR sensors?,APPLIED,1,What determines the operational lifetime of cooled infrared detector systems?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,18,78,What are common failure modes in HgCdTe detectors?,What are common failure modes in HgCdTe detectors?,APPLIED,1,What are common failure modes in HgCdTe detectors and how are they diagnosed?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,19,79,List major global manufacturers of infrared detectors.,List major global manufacturers of infrared detectors.,APPLIED,1,How should FIRM discuss major infrared detector manufacturers without overclaiming current market status?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,20,80,What are common environmental requirements for IR detector packaging?,What are common environmental requirements for IR detector packaging?,APPLIED,1,What environmental requirements matter for infrared detector packaging?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,21,81,What certifications are relevant for IR sensors in aerospace or defense?,What certifications are relevant for IR sensors in aerospace or defense?,APPLIED,1,What standards and compliance issues can matter for infrared sensors in aerospace or defense?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,22,82,What is a typical cost driver for cooled IR systems?,What is a typical cost driver for cooled IR systems?,APPLIED,1,What are the main cost drivers for cooled infrared systems?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,23,83,What is the advantage of uncooled microbolometers vs HgCdTe detectors?,What is the advantage of uncooled microbolometers vs HgCdTe detectors?,APPLIED,1,Compare uncooled microbolometers with cooled HgCdTe detectors.,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,24,84,How are yield issues managed in IR detector fabs?,How are yield issues managed in IR detector fabs?,APPLIED,1,How are yield issues managed in infrared detector fabrication?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,25,85,List best practices for IR detector handling in a cleanroom.,List best practices for IR detector handling in a cleanroom.,APPLIED,1,List best practices for handling infrared detectors in a cleanroom and why they matter.,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,26,86,Derive the bandgap energy for HgCdTe as a function of Cd composition at 77 K.,Derive the bandgap energy for HgCdTe as a function of Cd composition at 77 K.,APPLIED,1,"Derive or use an empirical HgCdTe bandgap relation versus Cd composition at 77 K, and state its limitations.",False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,27,87,Explain how photon flux is related to blackbody radiation.,Explain how photon flux is related to blackbody radiation.,APPLIED,1,Explain how photon flux is related to blackbody radiation for infrared detector calibration.,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,28,88,What is the relationship between cutoff wavelength and bandgap energy?,What is the relationship between cutoff wavelength and bandgap energy?,APPLIED,1,What is the relationship between cutoff wavelength and bandgap energy in infrared detectors?,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,29,89,Derive the expression for photoconductive gain.,Derive the expression for photoconductive gain.,APPLIED,1,Derive the expression for photoconductive gain and state when it fails.,False
003,data/curation/rewrite_batches/firm_rewrite_batch_003_rows_0061_0090.jsonl,30,90,How is thermal noise power related to bandwidth and temperature?,How is thermal noise power related to bandwidth and temperature?,APPLIED,1,"How is thermal noise power related to bandwidth and temperature, and how is this different from detector voltage noise?",False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,1,91,Explain how absorption coefficient varies with wavelength in HgCdTe.,Explain how absorption coefficient varies with wavelength in HgCdTe.,APPLIED,1,Explain how the absorption coefficient varies with wavelength in HgCdTe and why near-cutoff behavior matters.,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,2,92,How is responsivity of a photodiode modeled theoretically?,How is responsivity of a photodiode modeled theoretically?,APPLIED,1,"How is photodiode responsivity modeled theoretically, and what real-device corrections matter?",False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,3,93,What are the key equations used in modeling dark current?,What are the key equations used in modeling dark current?,APPLIED,1,What equations and mechanisms are used to model dark current in infrared detectors?,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,4,94,Explain the principle of noise spectral density.,Explain the principle of noise spectral density.,APPLIED,1,Explain noise spectral density and how it should be used in infrared detector analysis.,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,5,95,How does the responsivity spectrum of HgCdTe change with temperature?,How does the responsivity spectrum of HgCdTe change with temperature?,APPLIED,1,How does the HgCdTe responsivity spectrum change with temperature?,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,6,96,What is the maximum theoretical photoconductive gain in HgCdTe at 77 K?,What is the maximum theoretical photoconductive gain in HgCdTe at 77 K?,APPLIED,1,"How should theoretical photoconductive gain in HgCdTe be estimated, and why is a single maximum misleading?",False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,7,97,List precise fabrication tolerances that influence D* in HgCdTe photoconductors.,List precise fabrication tolerances that influence D* in HgCdTe photoconductors.,APPLIED,1,List fabrication variables that influence D* in HgCdTe photoconductors and explain why exact tolerances are process-specific.,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,8,98,Why does responsivity degrade above 200 K in MWIR HgCdTe photoconductors?,Why does responsivity degrade above 200 K in MWIR HgCdTe photoconductors?,APPLIED,1,Why can responsivity and detectivity degrade as MWIR HgCdTe photoconductors operate at higher temperature?,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,9,99,What is the expected 1/f noise corner frequency in passivated HgCdTe at 77 K?,What is the expected 1/f noise corner frequency in passivated HgCdTe at 77 K?,APPLIED,1,How should the 1/f noise corner frequency in passivated HgCdTe be reported?,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,10,100,Explain how AR coating thickness is optimized for LWIR detectors.,Explain how AR coating thickness is optimized for LWIR detectors.,APPLIED,1,Explain how antireflection coating thickness is optimized for LWIR detectors.,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,11,101,What is the role of Cd overpressure during post-growth annealing?,What is the role of Cd overpressure during post-growth annealing?,APPLIED,1,"What is the role of Cd overpressure during post-growth annealing of HgCdTe, and how does it differ from Hg overpressure?",False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,12,102,What is the primary origin of generation-recombination noise in mid-wavelength HgCdTe?,What is the primary origin of generation-recombination noise in mid-wavelength HgCdTe?,APPLIED,1,"What are plausible origins of generation-recombination noise in MWIR HgCdTe, and how should they be identified?",False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,13,103,State the ideal detector dimensions for minimizing transit time in a high-gain photoconductor.,State the ideal detector dimensions for minimizing transit time in a high-gain photoconductor.,APPLIED,1,How should detector dimensions be chosen to reduce transit time in a photoconductor without creating new failure modes?,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,14,104,How does contact resistivity impact Johnson noise?,How does contact resistivity impact Johnson noise?,APPLIED,1,How does contact resistance affect Johnson noise and measured detector noise?,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,15,105,List the fundamental causes of nonuniformity in HgCdTe FPAs.,List the fundamental causes of nonuniformity in HgCdTe FPAs.,APPLIED,1,List the fundamental causes of nonuniformity in HgCdTe FPAs and how they appear in data.,False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,16,106,What are the conditions required to minimize Auger recombination in LWIR HgCdTe?,What are the conditions required to minimize Auger recombination in LWIR HgCdTe?,APPLIED,1,"What conditions reduce Auger recombination in LWIR HgCdTe, and what tradeoffs are involved?",False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,17,107,What spectral resolution is required to distinguish CO₂ absorption in the 4.3 µm band?,What spectral resolution is required to distinguish CO₂ absorption in the 4.3 µm band?,APPLIED,1,"What spectral resolution is needed for CO2 absorption near 4.3 micrometers, and what determines the requirement?",False
004,data/curation/rewrite_batches/firm_rewrite_batch_004_rows_0091_0120.jsonl,18,108,Derive the expression for Johnson noise current in a resistive detector.,Derive the expression for Johnson noise current in a resistive detector.,APPLIED,1,Derive Johnson noise current for a resistive detector and state when to use current versus voltage form.,False
