,,,,,,
input,output,topic,subtopic,tags,difficulty,format
What are typical pixel pitches in MWIR focal plane arrays and what tradeoffs do they create?,"Common MWIR FPA pixel pitches include roughly 30 µm, 25 µm, 18 µm, 15 µm, 12 µm, and smaller in advanced systems. Pixel pitch is not just a resolution number. Smaller pixels reduce optical collection area, full-well capacity, and often signal, while increasing sensitivity to crosstalk, diffusion length, ROIC noise, fill factor, and optical alignment. Larger pixels collect more flux and can be easier for high sensitivity but reduce spatial resolution for fixed array size. A proper comparison includes f-number, diffraction, cold shield, integration time, ROIC capacitance, dark current density, operability, and required NETD or D*.",Devices,FPA Pixel Pitch,"MWIR,FPA,pixel pitch,ROIC,crosstalk,NETD",Advanced,Conceptual
Explain photon absorption in semiconductors for infrared detector operation.,"A photon can generate an electron-hole pair when its energy h nu exceeds the semiconductor bandgap E_g. Equivalently, wavelengths shorter than the cutoff lambda_c can be absorbed through interband transitions, with E_g[eV] ≈ 1.2398/lambda_c[um]. Absorption probability depends on absorption coefficient alpha(lambda) and active thickness t through approximately 1-exp(-alpha t). Near cutoff, alpha decreases, so photons penetrate deeper and quantum efficiency may fall. Absorption alone is insufficient for signal; generated carriers must also be collected or modulate conductance before recombination. FIRM should connect absorption to QE, lifetime, diffusion/drift collection, and spectral response.",Physics,Photon Absorption,"semiconductor,photon absorption,bandgap,HgCdTe,quantum efficiency,cutoff",Expert,Conceptual
What operating temperature is typical for InSb detectors and why?,"InSb detectors are commonly operated near 77 K because cooling suppresses thermally generated carriers and dark current in the narrow-bandgap material. Operation at higher temperatures, such as around 120-150 K in some systems, is possible with performance tradeoffs and careful device/readout design. The optimal temperature is application-dependent: lower temperature generally improves dark current and noise, while higher temperature reduces cooler burden, size, power, and cost. A meaningful answer reports cutoff, dark current or resistance, noise density, D*, integration time, and cooling architecture rather than naming one universal ideal temperature.",Devices,InSb Operating Temperature,"InSb,77K,cryogenic cooling,dark current,MWIR",Advanced,Conceptual
How do optical choppers affect signal measurement in photoconductors?,"A chopper modulates incident radiation so the photoconductor signal appears at a known reference frequency. A lock-in amplifier can then recover the component at that frequency while rejecting DC offsets and out-of-band noise. The measured signal depends on modulated optical power, detector bias, responsivity, carrier lifetime, preamp gain, lock-in phase, time constant, and equivalent noise bandwidth. If chopper frequency approaches detector or readout bandwidth, signal rolls off. FIRM should not treat chopper use as automatic SNR improvement; it must account for modulation depth, reference stability, harmonic content, and detector frequency response.",Testing,Chopped Lock-in Measurement,"chopper,lock-in,photoconductor,HgCdTe,time constant,responsivity",Expert,Procedure
List and classify noise sources in a typical HgCdTe photoconductor.,"Important noise sources include Johnson noise from detector resistance, 1/f noise from surface/contact/conductance fluctuations, generation-recombination noise from carrier-number fluctuations, dark-current shot noise when discrete current flow is significant, photon noise from optical background, contact noise, preamplifier voltage and current noise, bias-supply noise, microphonics, and electromagnetic pickup. They should be separated by PSD shape, bias scaling, temperature scaling, illumination scaling, and dummy-load controls. A strong FIRM answer reports noise in V/sqrt(Hz), A/sqrt(Hz), or W/sqrt(Hz), and distinguishes detector physics from readout artifacts.",Noise,HgCdTe Photoconductor Noise,"HgCdTe,photoconductor,Johnson noise,1/f,G-R,shot noise,readout",Expert,List
Describe the structure and functional regions of a typical HgCdTe photoconductor.,"A typical HgCdTe photoconductor has a CdZnTe or buffered substrate, an epitaxial Hg_{1-x}Cd_xTe absorbing/conducting layer, two or more ohmic contacts, surface passivation, and often an optical window or antireflection coating. The contact spacing, active width, thickness, passivated perimeter, and optical illumination geometry define resistance, transit time, gain, and leakage sensitivity. The detector is externally biased, so illumination changes conductance rather than generating a zero-bias photovoltaic output. A robust description includes material composition/cutoff, thickness, doping or carrier type, contact metallurgy, passivation, optical access, and readout circuit.",Devices,Photoconductor Structure,"HgCdTe,photoconductor,contacts,passivation,CdZnTe,geometry",Expert,Conceptual
What are common applications of MWIR sensors and why does the 3-5 µm band matter?,"MWIR sensors are used in thermal imaging, gas detection, missile warning, target tracking, spectroscopy, industrial process monitoring, combustion diagnostics, and remote sensing. The 3-5 µm region matters because it overlaps an atmospheric transmission window and contains useful thermal emission and molecular absorption features. MWIR can offer strong contrast for hot targets and gases, while often requiring cooled detectors such as InSb or HgCdTe for high sensitivity. Application suitability depends on source temperature, atmospheric path, spectral features, optics, detector cutoff, noise, frame rate, and cooling burden.",Industry,MWIR Applications,"MWIR,thermal imaging,gas detection,spectroscopy,HgCdTe,InSb",Advanced,Conceptual
"How do carrier lifetimes affect HgCdTe photoconductor responsivity, bandwidth, and noise?","Carrier lifetime affects photoconductive gain through G ≈ tau/tau_t, where tau is effective lifetime and tau_t is transit time. Longer lifetime can increase responsivity because photogenerated carriers modulate conductance longer. The tradeoff is bandwidth: a first-order response gives f_3dB ≈ 1/(2 pi tau_eff). Lifetime can also affect G-R noise because carrier-number fluctuations are tied to recombination dynamics. In HgCdTe, lifetime may be limited by SRH centers, Auger recombination, surface recombination, or trapping. FIRM should frame lifetime as a sensitivity-speed-noise tradeoff, not as universally beneficial.",Devices,Carrier Lifetime,"HgCdTe,photoconductor,lifetime,gain,bandwidth,G-R noise,responsivity",Expert,Derivation
"What Cd composition is typical for HgCdTe near 10 µm cutoff, and why must the answer be caveated?","A rough 77 K estimate for 10 µm cutoff Hg_{1-x}Cd_xTe is x near 0.2, but the exact value depends on the empirical bandgap relation, measurement temperature, cutoff criterion, and material details. The optical anchor is E_g[eV] ≈ 1.2398/10 ≈ 0.124 eV. Converting that to x requires a temperature-dependent HgCdTe bandgap model with bowing terms. FIRM should state the approximation and avoid presenting x as exact. A serious answer should also mention transmission baseline, responsivity roll-off, layer thickness, and free-carrier absorption as practical cutoff-extraction issues.",Physics,HgCdTe Composition,"HgCdTe,10um,LWIR,composition,bandgap,77K,cutoff",Expert,Analytical
"Compare photoconductive and photovoltaic infrared detectors in terms of physics, bias, signal, and noise.","Photoconductive detectors require external bias and produce signal through illumination-induced conductance change. They can achieve high responsivity through photoconductive gain, but bias can add Johnson noise, 1/f noise, G-R noise, contact injection, and heating. Photovoltaic detectors use a junction or built-in field to separate carriers and can operate with zero or low bias, often giving lower dark current and better array compatibility. PV devices are common in FPAs, while photoconductors remain useful for high-gain discrete detectors and certain measurement contexts. Compare them using R_V or R_I, NEP, D*, bandwidth, dark current, ROIC compatibility, and fabrication complexity.",Devices,Detector Type Comparison,"photoconductive,photovoltaic,HgCdTe,InSb,noise,bias,D*",Expert,Comparison
"How does passivation improve HgCdTe detectors, and what tradeoffs can occur?","Passivation stabilizes the HgCdTe surface by reducing interface traps, surface recombination, surface leakage, and conductance fluctuations. In photoconductors it can reduce 1/f noise and drift; in photodiodes it can reduce perimeter leakage. However, passivation can also introduce stress, fixed charge, optical loss, process damage, or altered surface band bending. A good passivation process improves D*, stability, and reproducibility, not necessarily raw responsivity. Verification requires before/after resistance, IV, noise PSD, spectral response, frequency response, and environmental stability. FIRM should treat passivation as a coupled chemical, electronic, optical, and mechanical interface problem.",Surface,Passivation,"HgCdTe,passivation,surface states,1/f noise,leakage,D*",Expert,Empirical Analysis
What is dark current and why is it important in infrared detectors?,"Dark current is detector current that flows without the target optical signal. In HgCdTe it can originate from diffusion, depletion-region generation, surface leakage, contact injection, tunneling, trap-assisted processes, or unwanted background radiation. It matters because it contributes non-signal current, shot noise, G-R noise, heating, dynamic-resistance reduction, and lower D*. Dark current must be reported with temperature, bias, geometry, active area, cutoff wavelength, and bandwidth context. FIRM should not describe it as one mechanism; it is an observed current that can have multiple physical origins.",Devices,Dark Current,"dark current,HgCdTe,infrared detector,noise,leakage,D*",Expert,Conceptual
Describe the lock-in amplifier principle and the measurement caveats for infrared detector testing.,"A lock-in multiplies the input by a reference at the modulation frequency and low-pass filters the result, producing X, Y, magnitude R, and phase. It rejects signals outside the reference bandwidth and is powerful for chopped IR measurements. However, the output depends on reference phase, time constant, filter order, equivalent noise bandwidth, preamp gain, input range, and signal waveform. For detector testing, lock-in amplitude is not automatically responsivity; responsivity requires calibrated modulated optical power at the detector. FIRM should track bandwidth and calibration before converting lock-in voltage into NEP or D*.",Testing,Lock-in Principle,"lock-in,demodulation,MFLI,chopper,bandwidth,responsivity,IR detector",Expert,Conceptual
What are the atmospheric IR transmission windows and why are they important for detector selection?,"Important atmospheric windows include roughly 3-5 µm MWIR and 8-12 µm LWIR, where atmospheric absorption is relatively low compared with adjacent bands. These windows guide detector cutoff selection, optics, filters, and application strategy. MWIR is useful for hot targets, gas features, and some high-contrast scenes; LWIR is useful for room-temperature thermal emission. Actual transmission depends on path length, humidity, CO2, aerosols, altitude, and spectral resolution. FIRM should connect atmospheric windows to detector bandgap, cutoff wavelength, background photon flux, cold filtering, and system-level SNR rather than listing bands alone.",Physics,Atmospheric Transmission,"MWIR,LWIR,atmospheric window,HgCdTe,IR transmission,system design",Advanced,Conceptual
Explain how a Stirling cooler supports infrared detector operation and what engineering tradeoffs it introduces.,"A Stirling cooler uses cyclic compression and expansion of a working gas, typically helium, with a regenerator to pump heat from the cold finger to the hot side. For IR detectors, it lowers detector temperature to reduce dark current, thermal carrier generation, and noise. The tradeoffs are cooldown time, vibration, acoustic noise, power consumption, lifetime, temperature stability, and mechanical integration. In HgCdTe or InSb systems, cooler performance affects detector D*, NETD, drift, microphonic noise, and packaging design. FIRM should treat the cooler as part of the measurement and system noise environment, not just a temperature source.",Devices,Cryocooler,"Stirling cooler,cryogenic,IR detector,HgCdTe,InSb,dark current,microphonics",Advanced,Conceptual
What is the role of a cold filter in an infrared detector system?,"A cold filter limits the spectral band reaching the detector while kept at cryogenic temperature to reduce its own thermal emission. It blocks out-of-band radiation that would otherwise generate unwanted photocurrent, photon noise, and background loading. For HgCdTe, filtering is crucial because the detector may respond to wavelengths outside the desired measurement band, and warm out-of-band radiation can dominate the signal environment. A good answer distinguishes cold filter, cold shield, window, and optical bandpass. FIRM should connect filtering to radiometric power, photon noise, saturation, responsivity calibration, and D*.",Devices,Cold Filtering,"cold filter,HgCdTe,background radiation,photon noise,bandpass,cryogenic optics",Expert,Conceptual
How does carrier mobility affect HgCdTe photoconductor performance?,"Carrier mobility affects conductivity, transit time, photoconductive gain, and bandwidth. Conductivity is sigma = q(n mu_n + p mu_p), so higher mobility generally lowers resistance for fixed carrier density. Transit time scales as tau_t = L^2/(mu V_b), so higher mobility can increase gain G = tau/tau_t and improve speed. However, high mobility alone does not guarantee high D*: noise, lifetime, surface leakage, contact behavior, and geometry matter. Hall mobility is a useful constraint for modeling resistance and transit time, but it does not directly provide lifetime, optical absorption, or trap spectrum.",Devices,Carrier Mobility,"HgCdTe,mobility,photoconductor,conductivity,transit time,gain,Hall",Expert,Analytical
Explain quantum efficiency in infrared detectors and why absorption alone is not enough.,"Quantum efficiency QE is the fraction of incident photons that produce collected or electrically useful carriers. It depends on optical absorption, reflection, active thickness, spectral response, carrier collection probability, recombination, diffusion length, and device architecture. A simple absorption term is 1-exp(-alpha t), but QE also requires that generated carriers survive and contribute to current or conductance. Near cutoff in HgCdTe, alpha decreases and photons penetrate deeper, so QE can fall even if photons enter the device. A robust QE discussion includes wavelength, temperature, optical stack, thickness, passivation, collection geometry, and whether QE is external or internal.",Devices,Quantum Efficiency,"quantum efficiency,QE,HgCdTe,absorption,collection,diffusion length",Expert,Conceptual
What are ohmic contacts and why are they important in infrared detectors?,"Ohmic contacts provide low-resistance, approximately linear current-voltage behavior over the operating bias range. In HgCdTe photoconductors, poor contacts can create nonlinear IV curves, excess 1/f noise, random telegraph noise, contact injection, local heating, or apparent resistance unrelated to the bulk material. In photodiodes, contact quality affects series resistance, readout coupling, and reliability. A contact evaluation should include IV symmetry, temperature dependence, contact-spacing test structures, TLM if available, noise PSD, and stability through cooldown. FIRM should not assume a measured two-terminal resistance equals bulk resistance without checking contact effects.",Fabrication,Ohmic Contacts,"ohmic contact,HgCdTe,contact resistance,IV,noise,TLM,photoconductor",Expert,Empirical Analysis
List typical HgCdTe passivation materials and the function they serve.,"Common HgCdTe passivation approaches include CdTe, ZnS, SiO2 or other dielectrics, anodic oxides, and multilayer stacks depending on device type and process. The function is not merely coverage; passivation should reduce interface trap density, surface leakage, surface recombination, and environmental instability while avoiding stress, fixed-charge problems, optical loss, and process damage. The right material depends on photoconductor versus photodiode geometry, spectral band, surface preparation, thermal budget, and packaging. Validation requires dark current or resistance, 1/f noise, G-R noise, spectral response, adhesion, and thermal-cycle stability.",Surface,Passivation Materials,"HgCdTe,passivation,CdTe,ZnS,oxide,surface states,leakage",Expert,List
How is NEP defined for voltage-mode infrared detector measurements?,"NEP is the input optical power that would produce signal equal to the noise. For voltage-mode responsivity R_V in V/W and RMS voltage noise v_n over bandwidth Delta f, NEP = v_n/R_V in W for that bandwidth. In density form, NEP_density = e_n/R_V in W/sqrt(Hz), where e_n is voltage noise density. The density form is usually better for comparing detectors because it separates detector physics from measurement bandwidth. FIRM should always specify whether the noise is RMS or spectral density, and whether optical power is total, in-band, or response-weighted.",Testing,NEP,"NEP,V/W,noise density,HgCdTe,infrared detector,D*",Expert,Derivation
"Why is LN2 commonly used in infrared detector testing, and what limitations does it have?","Liquid nitrogen is commonly used because it provides an inexpensive, stable bath near 77 K, which strongly suppresses thermally generated carriers in narrow-bandgap materials such as HgCdTe and InSb. Lower temperature reduces dark current, Johnson noise through lower T, and thermal drift, while improving repeatability for lab characterization. Its limitations are also important: 77 K may not match the intended system operating temperature, boiling and vibration can introduce microphonics, optical loading depends on dewar and cold-shield geometry, and cooldown stress can change contacts or passivation. A proper test report states detector temperature, stabilization time, dewar geometry, cold filter/shield conditions, and whether the measurement is dark, chopped, or radiometrically calibrated.",Testing,Cryogenic Testing,"LN2,77K,cryogenic testing,HgCdTe,InSb,dark current,microphonics",Expert,Empirical Analysis
Explain modulation transfer function (MTF) for infrared imaging systems.,"MTF describes how image contrast is transferred as a function of spatial frequency. It is the magnitude response of the imaging chain to sinusoidal scene structure, usually reported from zero frequency to the Nyquist frequency of the sampled FPA. In IR systems, total MTF is a product of optical diffraction/aberration MTF, detector aperture MTF, carrier diffusion/crosstalk MTF, motion smear, electronics, and sampling effects. Pixel pitch sets sampling frequency, while optical f-number and wavelength set diffraction blur. A meaningful MTF answer should state wavelength band, f-number, pixel pitch, measurement method, and whether the value is optical-only, detector-only, or full-system MTF.",Testing,MTF,"MTF,FPA,infrared imaging,pixel pitch,optics,diffraction,crosstalk",Expert,Conceptual
Compare photon noise and thermal noise in infrared detector measurements.,"Photon noise comes from statistical fluctuations in photon arrival and background photon flux. For photon-limited systems it scales with optical loading and scene/background radiance. Thermal noise usually refers to Johnson noise from a resistance, with voltage density e_J = sqrt(4 k_B T R) V/sqrt(Hz). In an HgCdTe measurement both can be present: photon noise depends on blackbody background, field of view, filter bandpass, and quantum efficiency, while Johnson noise depends on detector resistance and temperature. Distinguishing them requires changing optical loading and comparing to dark/dummy-load measurements. FIRM should not call all random fluctuation 'thermal noise' without identifying the physical source.",Noise,Photon vs Thermal Noise,"photon noise,Johnson noise,thermal noise,HgCdTe,blackbody,BLIP",Expert,Comparison
Describe the design principles of a dual-band HgCdTe detector.,"A dual-band HgCdTe detector uses layers or junctions with different compositions so that two spectral bands, such as MWIR and LWIR, can be detected separately. Designs may use stacked absorbers, back-to-back junctions, bias-selectable structures, or separate readout nodes. The key engineering problem is separating signals while controlling dark current, crosstalk, tunneling, band alignment, and ROIC integration. Each band requires appropriate cutoff wavelength, absorber thickness, carrier collection, passivation, and contact/readout design. A robust answer should discuss spectral separation, electrical isolation, optical absorption order, biasing scheme, and how D*, responsivity, and operability differ between bands.",Devices,Dual-Band Detectors,"HgCdTe,dual-band,MWIR,LWIR,multispectral,FPA,ROIC",Expert,Conceptual
What substrate materials are used for HgCdTe growth and how do they affect detector quality?,"Common substrates include CdZnTe, CdTe-buffered alternatives, GaAs with buffer layers, and Si with more complex buffer engineering. CdZnTe is favored because it can be closely lattice matched to HgCdTe, reducing dislocation density and improving lifetime, mobility, dark current, and noise. GaAs and Si offer size, cost, and integration advantages but require buffer strategies to manage lattice and thermal-expansion mismatch. Substrate selection should be judged by defect density, cutoff uniformity, Hall mobility, carrier concentration, surface morphology, yield, and final detector noise, not by lattice match alone.",Fabrication,Substrates,"HgCdTe,CdZnTe,GaAs,Si,lattice mismatch,dislocations,buffer layers",Expert,Conceptual
Explain the full Liquid Phase Epitaxy process for HgCdTe growth with detector-relevant controls.,"HgCdTe LPE starts with substrate preparation, melt preparation, thermal equilibration, growth by controlled contact between a CdZnTe substrate and saturated Hg-Cd-Te melt, separation from the melt, cooldown, and annealing under controlled Hg overpressure. The detector-relevant controls are melt composition, supersaturation, temperature gradient, substrate orientation, surface cleanliness, growth time, interface stability, and Hg stoichiometry. Outputs are not just thickness and appearance; evaluate cutoff wavelength, cutoff uniformity, thickness uniformity, Hall mobility, carrier concentration, lifetime, dark resistance, morphology, dislocation density, and noise. LPE must be understood as coupled thermodynamics, mass transport, and interface kinetics.",Fabrication,LPE,"HgCdTe,LPE,CdZnTe,growth,thermal gradient,Hg overpressure,detector quality",Expert,Procedure
"Why is annealing important after HgCdTe growth, and why can it change electrical behavior without moving cutoff?","Annealing can alter Hg vacancy concentration, point-defect populations, compensation, dopant activation, surface stoichiometry, and recombination centers. It is often performed under Hg overpressure to avoid Hg loss and stabilize stoichiometry. Optical cutoff mainly tracks bandgap/composition, so it may remain nearly fixed while resistance, mobility, carrier concentration, lifetime, 1/f noise, G-R noise, or contact behavior changes significantly. A serious before/after evaluation includes transmission or spectral response, Hall data, dark resistance versus temperature, noise PSD, and contact IV. FIRM should not treat unchanged cutoff as unchanged device physics.",Fabrication,Annealing,"HgCdTe,annealing,Hg overpressure,defects,carrier concentration,noise,cutoff",Expert,Empirical Analysis
List common MOCVD HgCdTe growth problems and their detector-level consequences.,"Common MOCVD HgCdTe problems include composition nonuniformity, precursor flow instability, memory effects, interface contamination, high defect density, particulates, poor morphology, abruptness errors, doping nonuniformity, and wafer temperature gradients. Detector consequences include cutoff nonuniformity, pixel-to-pixel responsivity variation, increased dark current, reduced lifetime, higher 1/f or G-R noise, poor passivation compatibility, and lower FPA operability. Troubleshooting should connect growth conditions to maps: thickness, composition/cutoff, Hall mobility, carrier concentration, PL or transmission, defect inspection, and device electrical data.",Fabrication,MOCVD Problems,"MOCVD,HgCdTe,composition uniformity,defects,cutoff,FPA,dark current",Expert,List
How does temperature gradient affect HgCdTe LPE growth quality?,"The temperature gradient controls supersaturation, interface stability, solute transport, and growth rate. Too steep a gradient or excessive supersaturation can produce rapid growth, constitutional supercooling, rough morphology, inclusions, or compositional variation. Too shallow a gradient can reduce growth rate, worsen control, or make the process sensitive to small thermal perturbations. For HgCdTe, gradients also interact with Hg vapor pressure, melt composition, and substrate contact dynamics. Detector-level consequences include thickness variation, cutoff nonuniformity, dislocation/defect formation, carrier concentration changes, and noise. Validate with thickness maps, transmission/cutoff maps, Hall maps, and device statistics.",Fabrication,LPE Thermal Control,"HgCdTe,LPE,temperature gradient,supersaturation,interface stability,cutoff uniformity",Expert,Analytical
What is the role of Hg overpressure during HgCdTe annealing?,"Hg overpressure helps maintain Hg stoichiometry during annealing by suppressing Hg loss from the HgCdTe surface and bulk. Without adequate Hg chemical potential, Hg vacancies and Te-rich surface conditions can form, changing carrier concentration, compensation, leakage, and recombination. With controlled Hg overpressure, annealing can adjust vacancy populations, activate or stabilize dopants, and improve electrical properties. The right condition depends on temperature, duration, ampoule geometry, Hg reservoir, sample volume, and desired conductivity type. Verification requires electrical and optical measurements, because cutoff may remain stable while resistance and noise change.",Fabrication,Hg Overpressure,"HgCdTe,Hg overpressure,annealing,Hg vacancies,stoichiometry,carrier concentration",Expert,Conceptual
Describe CdZnTe substrate cleaning before HgCdTe epitaxy and the risks of overprocessing.,"CdZnTe substrate preparation typically removes organics, particles, native oxides, polishing residues, and damaged surface material. A generic sequence may include solvent degreasing, DI rinse, controlled chemical oxide removal or etch, final rinse, drying, and rapid loading to minimize recontamination. The exact chemistry and timing are process-specific because over-etching, roughening, residue, or Te/Cd imbalance can degrade nucleation and interface quality. For detector-grade HgCdTe, substrate cleaning should be judged by surface roughness, haze, defect inspection, epitaxial morphology, cutoff uniformity, Hall data, and device noise. FIRM should avoid giving unsafe or overly specific wet-chemistry recipes unless conditions and safety controls are defined.",Fabrication,CdZnTe Preparation,"CdZnTe,HgCdTe,substrate cleaning,epitaxy,surface roughness,interface quality",Expert,Procedure
What design features matter in a sealed ampoule for HgCdTe LPE or Hg-rich annealing?,"A sealed quartz ampoule for HgCdTe-related processing must manage Hg vapor pressure, temperature gradients, material separation, contamination risk, and safe containment. Useful design features can include a region for Hg reservoir, a growth or anneal zone, controlled free volume, thermal isolation between zones, clean quartz surfaces, and geometry that prevents melt or Hg from splashing onto the wafer. For LPE, boat geometry, melt contact, substrate position, and separation dynamics matter. For annealing, Hg reservoir temperature controls Hg chemical potential. Ampoule design must be paired with furnace zoning, pressure safety margin, evacuation/backfill protocol, and contamination control.",Fabrication,Ampoule Design,"HgCdTe,LPE,ampoule,quartz,Hg vapor pressure,annealing,furnace",Expert,Conceptual
